,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,Total_Pts
163,405,Harry Maguire,MUN,DEF,8.0,0.0,0.0,0.0,1.19,0.0,0.0,3.42,0.0,2.94,0.0,0.0,3.46,0.0,0.0,0.0,11.009999999999998
164,3384,Carlton Morris,LUT,FOR,7.1,2.53,0.0,3.06,0.0,0.0,0.0,2.7,0.0,3.04,0.0,0.0,2.96,0.0,0.0,0.0,14.29
165,1002,Ibrahima Konaté,LIV,DEF,9.0,0.0,0.0,0.0,4.5,0.0,0.0,3.12,0.0,4.91,0.0,0.0,0.0,0.0,3.27,0.0,15.8
166,1897,Mark Flekken,BRE,GK,6.9,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0,5.65,0.0,5.26,0.0,0.0,0.0,15.64
167,725,Danny Welbeck,BHA,FOR,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1.44,2.31
168,154,Emerson Palmieri,WHU,DEF,7.1,3.01,0.0,0.0,4.55,0.0,0.0,3.22,0.0,0.0,0.0,1.58,0.0,0.0,0.0,2.77,15.129999999999999
169,3381,Malo Gusto,CHE,DEF,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,653,Kenny Tete,FUL,DEF,7.4,2.33,0.0,1.55,0.0,0.0,0.0,2.58,0.0,2.21,0.0,0.0,0.0,1.55,0.0,0.0,10.22
171,622,Daniel Podence,WOL,MID,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,311,Demarai Gray,EVE,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1377,Rico Lewis,MCI,DEF,7.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.55,0.0,0.0,0.0,1.32
174,115,Dwight McNeil,EVE,MID,7.9,3.96,0.0,3.59,0.0,0.0,0.0,3.6,0.0,0.0,2.82,0.0,3.65,0.0,0.0,0.0,17.62
175,1317,Nayef Aguerd,WHU,DEF,7.3,2.92,0.0,0.0,4.84,0.0,0.0,3.11,0.0,0.0,0.0,1.27,0.0,0.0,0.0,2.63,14.77
176,542,Serge Aurier,FOR,DEF,7.0,0.0,1.7,0.0,0.0,0.0,0.0,2.2,0.0,0.9,0.0,0.0,1.75,0.0,0.0,0.0,6.550000000000001
177,144,Billy Gilmour,BHA,MID,6.8,0.0,0.0,0.0,1.66,2.86,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,2.62,9.01
178,3178,Álex Moreno,AVL,DEF,7.9,0.0,0.0,0.0,1.21,0.0,2.0,0.0,0.0,1.05,0.0,0.0,1.76,0.0,0.0,0.0,6.02
179,623,Raúl Jiménez,FUL,FOR,7.4,3.22,0.0,2.61,0.0,0.0,0.0,3.16,0.0,2.95,0.0,0.0,0.0,2.54,0.0,0.0,14.48
180,1168,Vitaliy Mykolenko,EVE,DEF,7.6,3.5,0.0,3.75,0.0,0.0,0.0,2.63,0.0,0.0,1.7,0.0,3.76,0.0,0.0,0.0,15.339999999999998
181,91,Joël Veltman,BHA,DEF,7.9,0.0,0.0,0.0,1.79,3.13,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,2.56,9.85
182,56,Jacob Ramsey,AVL,MID,8.0,0.0,0.0,0.0,0.77,0.0,1.14,0.0,0.0,0.85,0.0,0.0,1.26,0.0,0.0,0.0,4.02
183,1093,Aaron Ramsey,BUR,MID,6.7,0.0,0.0,0.72,0.0,0.0,0.0,0.65,0.0,0.72,0.0,0.0,0.74,0.0,0.0,0.0,2.83
184,866,Emi Buendía,AVL,MID,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,148,Kepa Arrizabalaga,CHE,GK,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1113,Emerson,TOT,DEF,7.9,1.13,2.99,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,1.78,0.0,3.27,0.0,0.0,12.84
187,994,Ashley Young,EVE,DEF,7.2,1.89,0.0,2.37,0.0,0.0,0.0,1.46,0.0,0.0,1.12,0.0,2.46,0.0,0.0,0.0,9.3
188,1001,Michael Olise,CRY,MID,7.9,0.0,0.0,2.71,0.0,3.62,0.0,0.0,0.0,0.0,3.35,0.0,3.37,0.0,0.0,0.0,13.05
189,66,Yves Bissouma,TOT,MID,7.3,4.06,4.44,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,3.73,0.0,4.75,0.0,0.0,21.86
190,266,Bobby Reid,FUL,MID,6.7,1.51,0.0,1.31,0.0,0.0,0.0,1.49,0.0,1.48,0.0,0.0,0.0,1.15,0.0,0.0,6.940000000000001
191,386,Aymeric Laporte,MCI,DEF,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,511,Danny Ings,WHU,FOR,8.1,0.83,0.0,0.0,0.91,0.0,0.0,0.66,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.74,3.7199999999999998
193,345,Neco Williams,FOR,DEF,6.8,0.0,0.22,0.0,0.0,0.0,0.0,0.29,0.0,0.25,0.0,0.0,0.32,0.0,0.0,0.0,1.08
194,368,Caoimhín Kelleher,LIV,GK,6.1,0.0,0.0,0.0,4.24,0.0,0.0,2.45,0.0,1.52,0.0,0.0,0.0,0.0,0.39,0.0,8.600000000000001
195,608,Issa Diop,FUL,DEF,7.3,0.0,0.0,0.43,0.0,0.0,0.0,2.64,0.0,2.69,0.0,0.0,0.0,2.35,0.0,0.0,8.11
196,372,Joël Matip,LIV,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,713,Carlos Vinícius,FUL,FOR,6.9,1.51,0.0,0.92,0.0,0.0,0.0,1.03,0.0,1.03,0.0,0.0,0.0,0.77,0.0,0.0,5.26
198,844,Anthony Elanga,FOR,MID,7.2,0.0,3.3,0.0,0.0,0.0,0.0,3.43,0.0,2.44,0.0,0.0,2.91,0.0,0.0,0.0,12.08
199,1230,Jefferson Lerma,CRY,MID,7.0,0.0,0.0,1.95,0.0,2.38,0.0,0.0,0.0,0.0,2.15,0.0,2.25,0.0,0.0,0.0,8.73
200,599,Tomáš Souček,WHU,MID,7.7,2.67,0.0,0.0,2.93,0.0,0.0,2.75,0.0,0.0,0.0,2.19,0.0,0.0,0.0,2.72,13.26
201,427,Scott McTominay,MUN,MID,6.8,0.0,0.0,0.0,2.87,0.0,0.0,3.01,0.0,3.02,0.0,0.0,2.6,0.0,0.0,0.0,11.5
202,898,Nathan Collins,BRE,DEF,7.3,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2.7,0.0,3.09,0.0,0.0,0.0,6.27
203,192,Jordan Ayew,CRY,FOR,7.6,0.0,0.0,1.78,0.0,2.15,0.0,0.0,0.0,0.0,1.94,0.0,2.12,0.0,0.0,0.0,7.989999999999999
204,19,Kieran Tierney,ARS,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
