,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,Total_Pts
20,610,Jarrod Bowen,WHU,MID,8.8,0.0,4.27,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,4.2,0.0,0.0,0.0,4.8,0.0,0.0,0.0,2.32,3.74,0.0,4.66,0.0,4.12,4.78,3.89,1.59,3.99,3.82,5.07,0.38,3.07,63.95
21,633,Diogo Jota,LIV,MID,9.1,5.42,0.0,0.0,3.78,0.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.48,0.0,3.75,0.0,4.15,3.35,3.78,1.35,2.88,3.56,3.92,3.16,2.11,4.09,56.96000000000001
22,347,Alisson,LIV,GK,8.0,6.51,0.0,0.0,5.51,0.0,0.0,0.0,6.16,0.0,0.0,0.0,0.0,5.95,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.82,0.0,5.41,0.0,6.64,5.3,6.24,2.07,4.95,5.97,4.86,4.77,3.17,6.17,84.75
23,1406,Pervis Estupiñán,BHA,DEF,8.1,2.46,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,4.48,0.0,0.0,3.3,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.12,0.0,1.7,3.3,0.0,2.29,3.94,1.62,1.68,3.24,2.88,2.6,1.36,3.28,47.580000000000005
24,387,Nathan Aké,MCI,DEF,8.9,4.81,0.0,0.0,3.47,0.0,0.0,4.6,0.0,0.0,3.94,0.0,0.0,0.0,3.87,0.0,0.0,2.33,0.0,0.0,0.0,0.2,0.0,2.92,0.0,3.27,4.39,4.54,0.91,2.76,4.52,4.94,3.81,2.32,5.24,62.83999999999999
25,1545,Matheus Cunha,WOL,FOR,7.2,4.99,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,3.86,0.0,0.0,4.6,0.0,0.0,0.0,1.0,0.0,3.49,0.0,4.13,0.0,4.74,4.09,2.9,3.32,5.0,2.98,4.41,1.33,3.39,63.519999999999996
26,230,Richarlison,TOT,FOR,8.0,6.18,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,5.22,0.0,0.0,0.0,4.11,0.0,0.0,4.43,0.0,5.55,0.0,4.72,0.0,5.52,4.22,1.22,2.49,4.0,3.68,5.42,3.17,4.84,70.95
27,1275,Darwin Núñez,LIV,FOR,9.4,6.63,0.0,0.0,5.29,0.0,0.0,0.0,6.99,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.68,0.0,5.26,0.0,5.79,4.54,5.16,1.88,3.99,4.84,5.4,4.16,2.86,5.68,77.83000000000001
28,1175,Kieran Trippier,NEW,DEF,9.1,5.63,0.0,0.0,6.81,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,7.09,0.0,0.0,0.0,0.0,3.78,0.0,1.31,0.0,6.97,0.0,0.0,6.64,4.6,4.64,1.67,4.31,7.84,6.0,5.5,2.99,4.77,83.16
29,327,James Maddison,TOT,MID,9.3,5.51,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,5.5,0.0,0.0,0.0,3.94,0.0,0.0,4.06,0.0,5.24,0.0,5.03,0.0,5.19,4.19,1.11,2.29,3.82,3.6,5.67,3.06,5.1,69.17999999999999
