,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
258,3208,Illia Zabarnyi,BOU,DEF,6.6,0.0,4.74,0.0,0.0,0.0,3.12,0.0,2.98,0.0,0.0,0.0,1.33,0.0,0.0,12.17
259,1404,Sergio Gómez,MCI,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.49
260,3361,Justin Kluivert,BOU,MID,7.8,0.0,3.2,0.0,0.0,0.0,2.53,0.0,2.79,0.0,0.0,0.0,2.41,0.0,0.0,10.93
261,884,Ivan Toney,BRE,FOR,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,3416,Anel Ahmedhodzic,SHU,DEF,7.1,0.0,1.04,0.0,0.0,1.24,0.0,0.0,3.78,0.0,0.0,-0.28,0.0,0.0,0.0,5.78
263,217,Michael Keane,EVE,DEF,7.3,0.0,0.81,0.0,0.0,0.0,0.57,0.0,0.0,0.46,0.0,0.77,0.0,0.0,0.0,2.61
264,11,Joe Willock,NEW,MID,7.6,0.0,1.34,0.0,0.0,0.0,1.74,0.0,2.1,0.0,0.0,0.0,0.0,1.62,0.0,6.8
265,1192,Toti Gomes,WOL,DEF,6.9,0.0,0.0,2.73,0.0,0.0,0.0,1.9,0.0,1.79,0.0,2.71,0.0,0.0,0.0,9.129999999999999
266,3366,Lyle Foster,BUR,FOR,6.6,0.0,1.87,0.0,0.0,0.0,2.55,0.0,2.76,0.0,0.0,2.34,0.0,0.0,0.0,9.52
267,404,James Garner,EVE,MID,6.5,0.0,2.5,0.0,0.0,0.0,2.47,0.0,0.0,2.06,0.0,2.45,0.0,0.0,0.0,9.48
268,44,Matt Targett,NEW,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,1393,Marcus Tavernier,BOU,MID,7.2,0.0,3.58,0.0,0.0,0.0,2.89,0.0,3.2,0.0,0.0,0.0,2.7,0.0,0.0,12.370000000000001
270,1238,James Hill,BOU,DEF,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,559,Hugo Lloris,TOT,GK,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1249,Kieffer Moore,BOU,FOR,6.8,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.83
273,1286,Joe Worrall,FOR,DEF,6.8,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.13,0.0,0.0,0.15,0.0,0.0,0.0,0.45999999999999996
274,490,George Baldock,SHU,DEF,6.9,0.0,0.99,0.0,0.0,1.19,0.0,0.0,3.11,0.0,0.0,0.15,0.0,0.0,0.0,5.4399999999999995
275,2339,Tom Lockyer,LUT,DEF,7.1,0.0,2.15,0.0,0.0,0.0,1.65,0.0,2.81,0.0,0.0,1.95,0.0,0.0,0.0,8.559999999999999
276,130,Josh Brownhill,BUR,MID,7.1,0.0,3.51,0.0,0.0,0.0,2.47,0.0,2.63,0.0,0.0,2.33,0.0,0.0,0.0,10.94
277,530,Davinson Sánchez,TOT,DEF,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
