,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,Total_Pts
79,1249,Kieffer Moore,BOU,FOR,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,559,Hugo Lloris,TOT,GK,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,261,Tim Ream,FUL,DEF,7.5,0.0,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.23,0.0,0.0,0.19,0.0,0.0,0.0,0.24,0.0,0.22,0.0,0.18,0.0,0.28,1.66
82,399,Raheem Sterling,CHE,MID,8.7,4.12,0.0,0.0,0.0,3.83,0.0,3.73,0.0,0.0,0.0,3.78,0.0,0.0,2.5,0.0,0.0,2.77,0.0,3.79,3.62,3.19,2.92,3.57,37.82
83,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,1.87,0.0,3.22,0.0,2.22,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,3.01,2.92,0.0,2.3,2.71,2.98,26.550000000000004
84,417,Marcus Rashford,MUN,MID,10.9,4.05,0.0,0.0,0.0,3.93,0.0,4.56,0.0,4.33,0.0,0.0,0.0,0.0,0.0,5.66,0.0,5.19,0.0,4.02,0.0,3.84,5.02,3.99,44.589999999999996
85,3400,Admiral Muskwe,LUT,FOR,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1234,Jaidon Anthony,BOU,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,720,Tosin Adarabioyo,FUL,DEF,7.0,5.25,0.0,4.13,0.0,0.0,2.91,0.0,0.0,0.0,4.0,0.0,0.0,1.66,0.0,0.0,0.0,4.68,0.0,3.18,0.0,1.5,0.0,3.54,30.849999999999998
88,1080,Romelu Lukaku,CHE,FOR,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2079,Pau Torres,AVL,DEF,8.1,4.68,0.0,0.0,1.11,0.0,4.08,0.0,0.0,0.0,1.37,0.0,0.0,4.42,0.0,0.0,0.0,3.03,0.0,2.4,0.0,2.24,0.0,4.35,27.68
90,3411,Issa Kaboré,LUT,DEF,7.0,1.29,0.0,0.0,0.95,0.0,2.52,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,2.11,0.0,2.34,0.0,1.93,0.0,2.3,15.59
91,481,Sander Berge,BUR,MID,7.0,2.66,0.0,3.04,0.0,0.0,2.5,0.0,0.0,2.7,0.0,0.0,2.94,0.0,0.0,0.0,0.0,2.53,0.0,2.82,0.0,2.54,0.0,3.06,24.789999999999996
92,686,Dean Henderson,CRY,GK,6.6,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.18,0.0,0.22,0.0,0.27,0.0,0.3,0.0,0.31,2.01
93,828,Carney Chukwuemeka,CHE,MID,6.7,0.32,0.0,0.0,0.0,0.45,0.0,0.51,0.0,0.0,0.0,0.7,0.0,0.0,0.53,0.0,0.0,0.56,0.0,0.72,0.69,0.58,0.54,0.72,6.32
94,441,Javier Manquillo,NEW,DEF,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1439,Manuel Akanji,MCI,DEF,9.2,0.0,2.61,0.0,3.43,0.0,4.73,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,4.83,4.68,0.0,3.55,2.61,4.86,38.21
96,404,James Garner,EVE,MID,6.5,3.14,0.0,2.95,0.0,0.0,2.96,0.0,0.0,0.0,0.0,3.08,0.0,2.97,0.0,2.88,0.0,2.69,0.0,3.14,0.0,3.42,0.0,2.59,29.820000000000004
97,733,Craig Dawson,WOL,DEF,7.3,2.07,0.0,3.57,0.0,0.0,4.02,0.0,0.0,3.64,0.0,0.0,1.6,0.0,0.0,3.53,0.0,3.91,0.0,0.55,0.0,4.55,0.0,0.74,28.18
98,408,Diogo Dalot,MUN,DEF,8.2,2.71,0.0,0.0,0.0,2.23,0.0,2.45,0.0,3.14,0.0,0.0,0.0,0.0,0.0,5.32,0.0,4.2,0.0,3.52,0.0,2.22,2.75,1.93,30.47
