,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,Total_Pts
540,3197,Máximo Perrone,MCI,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,1325,Clément Lenglet,AVL,DEF,7.7,0.0,0.42,0.0,0.3,0.0,0.0,0.53,0.0,0.42,0.0,0.54,0.0,0.0,0.0,0.46,0.0,0.73,0.0,0.0,0.48,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.55,5.74
542,431,Teden Mengi,LUT,DEF,7.7,1.12,0.0,2.62,0.0,0.0,1.53,0.0,1.38,0.0,0.0,0.0,0.98,0.0,2.08,0.0,0.0,0.0,1.46,0.0,2.39,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,1.6,19.060000000000002
543,1027,Albert Sambi Lokonga,LUT,MID,6.8,0.0,0.0,0.31,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,1.52,0.0,1.88,0.0,0.0,0.0,1.66,0.0,1.78,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,1.95,13.779999999999998
544,3205,Yasin Ayari,BHA,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,221,João Virgínia,EVE,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.24,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.18,0.94
546,3507,Mike Trésor,BUR,MID,7.0,1.41,0.0,1.82,0.0,0.0,1.94,0.0,1.39,0.0,0.0,1.23,0.0,0.0,1.73,0.0,0.0,0.0,1.3,0.0,1.39,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,15.380000000000003
547,3474,Youssef Chermiti,EVE,FOR,6.7,0.19,0.0,0.0,0.21,0.0,0.3,0.0,0.0,0.0,0.32,0.0,0.34,0.0,0.33,0.0,0.0,0.0,0.36,0.0,0.0,0.3,0.0,0.34,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.44,3.56
548,3419,Jordan Amissah,SHU,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,1224,Emiliano Marcondes,BOU,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
