,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,Total_Pts
111,70,Solly March,BHA,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,260,Jay Stansfield,FUL,FOR,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1326,Aaron Hickey,BRE,DEF,7.5,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2.55,0.0,2.61,0.0,0.0,2.62,0.0,2.14,0.0,0.0,3.88,0.0,0.0,3.31,0.0,2.6,0.0,3.22,0.0,2.77,0.0,2.55,28.74
114,481,Sander Berge,BUR,MID,7.0,0.0,3.53,0.0,0.0,2.86,0.0,0.0,2.84,0.0,2.58,0.0,2.71,0.0,0.0,2.32,0.0,0.0,2.52,0.0,0.0,2.74,0.0,2.55,0.0,2.85,0.0,2.59,0.0,2.83,32.92
115,812,Hugo Bueno,WOL,DEF,7.0,0.2,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.27,0.0,0.0,0.33,0.0,0.0,0.26,0.0,0.0,0.06,0.29,0.37,0.0,0.24,0.0,0.34,0.25,0.25,3.33
116,686,Dean Henderson,CRY,GK,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.19,0.0,0.25,0.15,0.36,0.0,0.3,0.0,0.3,0.08,0.27,2.1
117,975,Marc Guéhi,CRY,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.52,0.6,2.9,6.77
118,1192,Toti Gomes,WOL,DEF,6.9,2.3,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,2.03,0.0,3.78,0.0,0.0,4.01,0.0,0.0,3.6,0.0,0.0,0.43,2.92,3.92,0.0,0.73,0.0,4.17,1.91,1.01,34.21999999999999
119,185,Tyrick Mitchell,CRY,DEF,7.7,2.72,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,3.21,0.0,3.36,0.0,0.0,1.94,0.0,0.0,0.0,2.05,0.0,3.65,1.95,3.1,0.0,2.92,0.0,3.5,0.84,3.18,36.67
120,3366,Lyle Foster,BUR,FOR,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,3,Bernd Leno,FUL,GK,6.8,4.46,0.0,0.0,4.54,0.0,0.0,0.0,3.92,0.0,5.1,0.0,4.77,0.0,0.0,3.84,0.0,0.0,4.45,0.0,0.0,0.92,0.29,5.14,0.0,4.2,0.0,3.62,2.45,4.66,52.36
122,405,Harry Maguire,MUN,DEF,8.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,1.62,0.0,1.82,0.0,0.0,2.0,0.0,1.22,2.7,3.03,0.0,2.44,0.0,1.79,1.67,1.53,22.990000000000002
123,266,Bobby Reid,FUL,MID,6.7,1.74,0.0,0.0,1.42,0.0,0.0,0.0,1.52,0.0,1.43,0.0,1.48,0.0,0.0,1.49,0.0,0.0,1.4,0.0,0.0,0.33,0.1,1.54,0.0,1.31,0.0,1.27,0.96,1.53,17.52
124,441,Javier Manquillo,NEW,DEF,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1638,Joško Gvardiol,MCI,DEF,9.3,0.0,0.65,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,2.85,0.0,3.45,0.0,4.35,0.0,0.0,4.43,0.0,0.0,0.66,2.95,4.37,0.0,4.73,0.0,3.67,2.48,5.15,42.01
