,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,Total_Pts
320,3243,Thomas Kaminski,LUT,GK,6.3,0.0,0.0,4.18,0.0,0.0,0.0,3.67,0.0,0.0,2.88,0.0,0.0,4.67,0.0,0.0,0.0,3.59,0.0,0.0,2.8,0.0,0.0,3.74,3.74,4.36,3.09,2.89,0.0,39.61
321,3411,Issa Kaboré,LUT,DEF,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.17,0.0,0.0,3.12,0.0,0.0,0.0,2.34,0.0,0.0,1.26,0.0,0.0,2.7,2.6,3.04,1.53,1.26,0.0,19.520000000000003
322,718,Ben Godfrey,EVE,DEF,7.1,0.0,0.44,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.56,0.0,0.47,0.0,0.0,0.66,0.49,0.52,0.61,0.0,0.47,5.390000000000001
323,3406,Alfie Doughty,LUT,DEF,6.9,0.0,0.0,3.28,0.0,0.0,0.0,2.42,0.0,0.0,1.38,0.0,0.0,4.27,0.0,0.0,0.0,2.51,0.0,0.0,1.15,0.0,0.0,2.79,2.71,3.53,1.57,1.17,0.0,26.78
324,3484,Beto,EVE,FOR,7.7,0.0,1.3,0.0,0.0,0.0,0.0,1.23,0.0,0.0,1.39,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.32,0.0,1.15,0.0,0.0,1.42,1.23,1.21,1.27,0.0,1.22,13.76
325,3362,Mahmoud Dahoud,BHA,MID,7.5,0.0,0.0,0.0,0.0,0.0,0.63,0.65,0.0,0.0,0.63,0.0,0.0,0.61,0.0,0.0,0.0,0.62,0.0,0.0,0.52,0.0,0.0,0.5,0.54,0.48,0.43,0.48,0.0,6.09
326,594,Pablo Fornals,WHU,MID,7.4,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,2.42,0.0,1.4,0.0,0.0,1.13,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.11,1.08,1.28,1.1,1.06,1.33,0.0,15.459999999999999
327,696,Sergio Reguilón,MUN,DEF,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,880,Vitaly Janelt,BRE,MID,7.3,0.0,0.0,0.0,2.58,0.0,0.0,0.0,2.46,0.0,0.0,0.0,2.17,2.3,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,2.43,2.4,2.17,2.28,2.34,2.32,0.0,25.81
329,1934,Jakub Kiwior,ARS,DEF,7.6,0.0,0.0,0.0,1.34,0.0,0.0,1.54,0.0,0.0,0.0,1.22,0.0,0.0,1.18,0.0,0.84,0.0,0.0,0.0,0.85,0.0,0.0,1.12,0.99,0.98,0.66,1.35,0.0,12.07
330,1242,Chris Mepham,BOU,DEF,6.7,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.4,0.0,0.62,0.0,0.44,0.0,0.0,0.34,0.0,0.0,0.0,0.33,0.0,0.0,0.49,0.64,0.54,0.57,0.54,0.0,6.6
