,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,Total_Pts
36,872,David Raya,ARS,GK,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.36,0.0,5.08,0.0,0.0,5.34,0.0,0.0,1.36,5.32,5.01,0.0,5.92,0.0,5.23,4.44,6.04,54.6
37,1744,Kudus Mohammed,WHU,MID,8.1,4.64,0.0,0.0,0.0,4.45,3.81,0.0,4.22,0.0,0.0,3.63,0.0,0.0,4.14,0.0,0.0,3.71,0.0,3.92,0.0,3.72,0.0,4.72,0.0,2.78,43.74
38,1320,Julián Álvarez,MCI,FOR,8.6,3.44,0.0,0.0,0.0,0.0,0.0,2.96,0.0,3.62,0.0,3.47,0.0,0.0,4.08,0.0,0.0,0.78,3.28,3.59,0.0,4.11,0.0,3.63,2.81,4.16,39.93000000000001
39,1558,André Onana,MUN,GK,7.3,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,3.64,0.0,3.83,0.0,0.0,4.09,0.0,2.42,4.69,5.32,0.0,4.73,0.0,3.89,2.96,4.08,43.64
40,327,James Maddison,TOT,MID,9.3,4.73,0.0,0.0,4.76,0.0,5.88,0.0,5.5,0.0,0.0,0.0,0.0,6.08,4.52,0.0,0.0,0.8,1.76,3.7,0.96,3.73,0.95,5.56,3.23,5.76,57.92
41,1168,Vitaliy Mykolenko,EVE,DEF,7.6,0.0,0.0,0.0,0.0,0.0,3.31,0.0,2.34,0.0,0.0,3.88,0.0,0.0,0.0,0.0,2.63,3.74,2.13,3.21,0.0,3.86,0.0,4.63,0.24,1.84,31.81
42,1175,Kieran Trippier,NEW,DEF,9.1,0.0,0.0,0.0,0.0,0.0,1.28,0.0,2.02,0.0,0.0,2.68,0.0,0.0,4.54,0.0,0.0,2.53,4.58,8.13,0.0,5.55,0.0,4.96,2.92,4.5,43.69
43,404,James Garner,EVE,MID,6.5,0.0,0.0,0.0,0.0,0.0,3.14,0.0,2.92,0.0,0.0,2.96,0.0,0.0,0.0,0.0,3.11,2.95,2.73,2.82,0.0,3.12,0.0,3.39,0.3,2.6,30.040000000000003
44,620,Max Kilman,WOL,DEF,7.7,0.0,0.0,0.0,0.0,0.0,1.95,0.0,3.57,0.0,0.0,3.86,0.0,0.0,3.43,0.0,0.0,0.4,2.79,3.69,0.0,0.68,0.0,4.09,1.83,0.83,27.119999999999997
45,8,Emiliano Martínez,AVL,GK,7.1,4.3,0.0,0.0,0.0,4.98,5.17,0.0,0.0,3.11,0.0,4.66,0.0,0.0,3.21,0.0,0.0,5.01,0.0,4.29,0.0,4.05,0.0,3.75,0.0,4.89,47.42
46,1406,Pervis Estupiñán,BHA,DEF,8.1,5.01,0.0,0.0,0.0,0.0,0.0,1.87,0.0,3.29,0.0,2.21,0.0,0.0,3.51,0.0,0.0,0.62,1.18,3.06,0.44,2.86,0.44,2.33,2.0,3.01,31.83
47,172,Ross Barkley,LUT,MID,7.2,0.0,0.0,4.54,4.73,0.0,3.3,0.0,0.0,2.81,0.0,4.13,0.0,0.0,2.45,0.0,0.0,3.83,0.0,3.6,0.0,3.97,0.0,4.13,0.0,3.82,41.31
48,3406,Alfie Doughty,LUT,DEF,6.9,0.0,0.0,2.99,4.12,0.0,1.59,0.0,0.0,0.93,0.0,3.44,0.0,0.0,0.47,0.0,0.0,3.12,0.0,2.96,0.0,3.48,0.0,2.97,0.0,3.33,29.4
49,376,John Stones,MCI,DEF,9.2,2.37,0.0,0.0,0.0,0.0,0.0,2.61,0.0,3.21,0.0,4.13,0.0,0.0,4.04,0.0,0.0,0.61,2.73,4.01,0.0,4.25,0.0,3.47,2.29,4.77,38.489999999999995
50,224,Anthony Gordon,NEW,MID,7.8,0.0,4.32,0.0,0.0,0.0,5.58,0.0,5.08,0.0,0.0,3.85,0.0,0.0,4.81,0.0,0.0,2.16,3.08,5.66,0.0,4.24,0.0,4.63,2.27,3.84,49.52000000000001
51,3377,Jordan Beyer,BUR,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1.26,0.0,0.0,1.46,0.0,0.0,2.63,0.0,0.0,4.02,0.0,1.86,0.0,2.89,0.0,1.07,0.0,4.26,19.89
52,3243,Thomas Kaminski,LUT,GK,6.3,0.0,0.0,3.81,4.43,0.0,3.11,0.0,0.0,2.91,0.0,3.97,0.0,0.0,2.67,0.0,0.0,3.96,0.0,4.03,0.0,4.28,0.0,3.78,0.0,4.12,41.07
53,1897,Mark Flekken,BRE,GK,6.9,0.0,0.0,0.0,5.09,0.0,4.6,0.0,0.0,4.74,0.0,4.04,0.0,0.0,5.8,0.0,0.0,4.88,0.0,4.82,0.0,4.95,0.0,4.62,0.0,4.41,47.95
54,154,Emerson Palmieri,WHU,DEF,7.1,3.06,0.0,0.0,0.0,3.78,2.43,0.0,3.09,0.0,0.0,3.42,0.0,0.0,3.63,0.0,0.0,3.91,0.0,2.68,0.0,2.69,0.0,4.76,0.0,1.22,34.67
55,810,Martin Ødegaard,ARS,MID,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,6.77,0.0,4.36,0.0,0.0,5.21,0.0,0.0,1.29,5.28,4.52,0.0,6.5,0.0,5.44,4.27,6.39,53.45
56,452,Martin Dúbravka,NEW,GK,6.3,0.0,3.86,0.0,0.0,0.0,4.66,0.0,4.15,0.0,0.0,2.69,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.18,16.78
57,3212,Pedro Porro,TOT,DEF,7.8,4.07,0.0,0.0,4.82,0.0,6.67,0.0,5.62,0.0,0.0,0.0,0.0,6.45,3.75,0.0,0.0,0.64,1.44,3.45,0.87,2.71,0.88,6.53,2.84,6.68,57.419999999999995
58,412,Bruno Fernandes,MUN,MID,10.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.63,0.0,4.97,0.0,0.0,4.75,0.0,3.08,5.67,6.84,0.0,5.63,0.0,4.57,4.07,4.69,53.9
59,1275,Darwin Núñez,LIV,FOR,9.4,4.57,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,7.34,0.0,5.16,0.0,0.0,5.67,0.0,1.33,5.05,5.87,0.0,6.57,0.0,5.15,4.41,6.6,63.839999999999996
60,3384,Carlton Morris,LUT,FOR,7.1,0.0,0.0,4.22,4.72,0.0,3.35,0.0,0.0,2.74,0.0,3.93,0.0,0.0,2.48,0.0,0.0,3.72,0.0,3.36,0.0,3.71,0.0,3.43,0.0,3.84,39.5
61,649,Abdoulaye Doucouré,EVE,MID,7.3,0.0,0.0,0.0,0.0,0.0,3.49,0.0,3.47,0.0,0.0,3.79,0.0,0.0,0.0,0.0,3.28,3.82,2.97,3.6,0.0,3.66,0.0,4.14,0.33,2.62,35.169999999999995
62,719,Joachim Andersen,CRY,DEF,7.8,0.0,0.0,0.0,0.0,0.0,3.93,0.0,3.37,0.0,0.0,1.72,0.0,0.0,0.0,1.51,0.0,4.67,2.07,3.3,0.0,3.46,0.0,3.8,0.88,2.96,31.67
63,3381,Malo Gusto,CHE,DEF,6.8,0.0,4.82,0.0,0.0,0.0,5.18,0.0,0.0,0.0,3.84,0.0,4.69,0.0,0.0,0.0,2.81,0.3,1.12,1.47,0.59,2.25,0.59,1.8,1.46,1.98,32.9
64,104,James Tarkowski,EVE,DEF,7.8,0.0,0.0,0.0,0.0,0.0,3.05,0.0,2.11,0.0,0.0,4.12,0.0,0.0,0.0,0.0,2.29,4.05,1.83,3.31,0.0,3.82,0.0,5.07,0.2,1.44,31.290000000000003
65,3439,Milos Kerkez,BOU,DEF,6.7,0.0,0.0,3.99,0.0,0.0,2.37,0.0,2.29,0.0,0.0,1.63,0.0,0.0,0.0,1.03,0.0,0.96,0.99,1.14,0.0,0.66,0.0,1.24,0.25,0.91,17.46
66,368,Caoimhín Kelleher,LIV,GK,6.1,4.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,2.77,0.0,1.48,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.450000000000001
67,1393,Marcus Tavernier,BOU,MID,7.2,0.0,0.0,4.73,0.0,0.0,3.85,0.0,3.67,0.0,0.0,3.7,0.0,0.0,0.0,3.62,0.0,3.31,2.76,3.68,0.0,2.8,0.0,3.73,0.73,3.45,40.029999999999994
68,724,Rayan Aït Nouri,WOL,DEF,7.2,0.0,0.0,0.0,0.0,0.0,2.31,0.0,3.24,0.0,0.0,3.68,0.0,0.0,2.92,0.0,0.0,0.5,3.0,3.96,0.0,1.09,0.0,3.71,2.14,1.49,28.04
69,344,Kostas Tsimikas,LIV,DEF,7.2,0.45,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.7,0.0,0.45,0.0,0.0,0.52,0.0,0.12,0.45,0.47,0.0,0.42,0.0,0.46,0.39,0.59,5.56
70,469,Fabian Schär,NEW,DEF,8.7,0.0,2.67,0.0,0.0,0.0,6.21,0.0,5.45,0.0,0.0,3.46,0.0,0.0,3.53,0.0,0.0,1.89,3.59,6.87,0.0,4.45,0.0,3.84,2.26,3.44,47.660000000000004
