,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,Total_Pts
364,1225,Joe Rothwell,BOU,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,1238,James Hill,BOU,DEF,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.03,0.21,0.18,0.13,0.2,0.16,0.22,0.09,0.18,2.0900000000000003
366,740,Folarin Balogun,ARS,FOR,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,3458,Igor,BHA,DEF,7.6,3.9,0.0,0.0,1.87,0.0,0.0,0.0,4.69,0.0,0.0,0.0,4.19,0.0,0.0,3.19,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.1,1.4,3.34,0.0,2.08,0.0,4.26,2.54,0.33,2.85,2.3,2.06,1.34,2.99,47.60000000000001
368,2414,Anass Zaroury,BUR,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.21,0.0,0.18,0.0,0.2,0.19,0.0,0.18,0.2,0.18,0.0,0.22,1.9399999999999997
369,431,Teden Mengi,LUT,DEF,7.7,1.14,0.0,0.0,3.66,0.0,0.0,0.0,2.1,0.0,0.0,0.66,0.0,0.0,0.0,2.28,0.0,0.0,0.46,2.28,1.14,0.0,2.12,0.0,1.22,0.96,0.0,2.69,0.21,0.52,3.56,0.59,2.21,2.32,1.85,0.61,2.33,34.910000000000004
370,3197,Máximo Perrone,MCI,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,1050,CJ Egan-Riley,BUR,DEF,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,1437,Lucas Paquetá,WHU,MID,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.19,3.09,3.51,0.0,3.16,0.0,3.43,3.1,0.85,3.17,3.11,3.79,0.29,2.44,34.86
373,1377,Rico Lewis,MCI,DEF,7.0,0.0,0.0,1.13,1.32,0.0,0.0,1.35,0.0,0.0,1.49,0.0,1.45,0.0,0.0,0.0,1.47,0.0,0.0,1.17,0.0,0.0,0.0,0.07,1.34,0.0,1.55,1.59,0.0,2.09,1.45,0.27,1.75,1.91,1.64,1.08,1.84,25.960000000000004
